"Provider_Number","Location_Name","Address","City","State","Zip","Admin_First_Name","Admin_Last_Name","Phone","LicensedCapacity","Operation_Months","Operation_Days","Hours_Open","Hours_Close","Infant_0_To_12mos","Toddler_13mos_To_2yrs","Preschool_3yrs_To_4yrs","Pre_K_Served","School_Age_5yrs_Plus","Ages_Other_Than_Pre_K_Served","Has_Evening_Care","Has_Drop_In_Care","Has_School_Age_Summer_Care","Has_Special_Needs_Care","Has_Transport_ToFrom_School"
"CCLC-33454","Dacula Academy","2303 Alcovy Road","Dacula","GA",30019,"Janna","Rookis","(770) 962-4128",221,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:00:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"CCLC-29045","Dacula Family Sports","144 Broad Street","Dacula","GA",30019,"Robden ","Phillips","(770) 237-2121",85,"JAN FEB MAR APR MAY JUN AUG SEP OCT NOV DEC","MO TU WE TH FR",02:45:00 PM,07:00:00 PM,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"CCLC-32500","Discovery Point #10","2380 Hamilton Mill Parkway","Dacula","GA",30019,"Cyndi","Virgilio","(770) 614-3556",191,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"CCLC-39104","Duncan Creek Academy","2064 Pine Road","Dacula","GA",30019,"Nicole","Rearick","(770) 831-1505",236,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:00:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"CCLC-1020","Fort Daniel Children's Academy","2730 Braselton Hwy.","Dacula","GA",30019,"LaNita","Ricks","(770) 932-6200",203,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:00:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"CCLC-15900","Great Beginnings of Dacula","1271 Harbins Rd.","Dacula","GA",30019,"Lloyd","Delatour","(770) 995-4343",538,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:00:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"CCLC-39113","Kids' Galaxy","2243 Alcovy Road","Dacula","GA",30019,"Sharon","Carter","(770) 299-1567",154,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:00:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"CCLC-36766","Kids Harbor of Hamilton Mill","2852 Hog Mountain Road","Dacula","GA",30019,"Terri","Wilson","(770) 831-5454",197,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"CCLC-38693","The Goddard School of Dacula","1362 Auburn Road","Dacula","GA",30019,"Amy","Grennan","(770) 682-8260",174,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"CCLC-935","An Apple a Day Early Learning Center","3152 Creek Dr.","Duluth","GA",30096,"Nora","Doyle","(770) 476-5481",200,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:15:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"CCLC-29631","C.O.R.E. Kids Academy","2702 Peachtree Industrial Blvd.","Duluth","GA",30097,"Janet","Kim","(770) 495-0073",154,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,07:00:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"CCLC-35250","Childcare Network #211","3635 Howell Ferry Rd.","Duluth","GA",30096,"Tiffany","Coney","(770) 623-9880",149,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"CCLC-1536","Childtime Childcare #1107","2405 Meadowbrook Pkwy.","Duluth","GA",30096,"Lilla","Thwaites","(770) 497-1433",140,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"CCLC-22112","Creme de la Creme","2349 Meadow Church Road","Duluth","GA",30097,"Kharla","Alvarado","(678) 389-4403",308,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 AM,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"CCLC-26228","Discovery Point  #3","3800 Howell Ferry Road","Duluth","GA",30096,"Michelle","Malizioso","(770) 623-3090",195,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"CCLC-1348","Discovery Point #5","3730 Satellite Blvd","Duluth","GA",30096,"Jamye","Jones","(770) 418-1901",238,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"CCLC-30995","Greater Atlanta Montessori School","3351 North Berkeley Lake Road","Duluth","GA",30096,"Pang ","Gentry","(770) 232-0330",46,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"CCLC-1202","Kids 'R Kids #27","3480 Pleasant Hill Road","Duluth","GA",30096,"Julie","Holliday","(770) 813-9600",272,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:00:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"CCLC-31","Kids 'R Kids #48","1780 Peachtree Industrial Blvd","Duluth","GA",30097,"Janet","Lawson","(770) 622-2900",277,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:00:00 AM,06:30:00 PM,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"CCLC-32729","KinderCare Learning Center #1175","2120 West Liddell Rd.","Duluth","GA",30096,"Amanda","Stratford","(770) 497-1001",134,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",12:00:00 AM,12:00:00 AM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"CCLC-37126","Legacy Academy Satellite","1825 Satellite Blvd.","Duluth","GA",30097,"Denise","Isaza-Tobon","(770) 622-9200",263,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"CCLC-38463","Little Tikes Academy","2960 Albion Farm Road","Duluth","GA",30097,"Marcus","Drake","(770) 476-4221",310,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"CCLC-38157","Primrose School of Duluth West","3525 Duluth Park Ln.","Duluth","GA",30096,"Christine","Weiss","(770) 623-0085",130,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"CCLC-38476","Rainbow Village Early Childhood Development Center LLC","3427 Duluth Hwy 120","Duluth","GA",30096,"HEATHER","NEWMAN","(678) 878-4889",91,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"CCLC-2519","Sugarloaf Montessori School","2270 Meadow Church Road","Duluth","GA",30097,"Michelle","Whaley","(678) 473-0079",156,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",07:00:00 AM,06:00:00 PM,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"CCLC-32675","The Schoolhouse","2466 Buford Hwy","Duluth","GA",30097,"Angilla","Jones","(678) 240-2507",60,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",07:00:00 AM,06:00:00 PM,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"CCLC-155","The Sunshine House #77","1494 Pleasant Hill Rd","Duluth","GA",30096,"Kea","Childress","(770) 279-9888",149,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"CCLC-30494","Tree Planted By the Stream (TPS) Preschool/Afterschool","3205 Pleasant Hill Road","Duluth","GA",30096,"Young","Ahn","(678) 387-8785",72,"JAN FEB MAR APR MAY AUG SEP OCT NOV DEC","MO TU WE TH FR",08:30:00 AM,06:30:00 PM,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"CCLC-31978","Grayson Academy","1045 Cooper Rd.","Grayson","GA",30017,"Tashida","Watson","(678) 344-9991",170,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:00:00 AM,08:00:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"CCLC-2855","Harbour Oaks Montessori School","1741 Athens Highway","Grayson","GA",30017,"Anna","Robichaux","(770) 979-8900",154,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",08:15:00 AM,03:00:00 PM,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"CCLC-3453","Prime Time - Grayson","460 Highway 84","Grayson","GA",30017,"Sherri","Brown","(770) 963-7189",50,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",03:00:00 PM,06:30:00 PM,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"CCLC-30918","Rosebud Child Development Center","550 Grayson Pkwy.","Grayson","GA",30017,"Aleshia","Newby-Korede","(678) 694-1679",121,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:00:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"CCLC-39487","Stride to Strive","200 Grayson Industrial Parkway","Grayson","GA",30017,"Gloria","Ross-Lacey","(678) 615-7559",35,"JAN FEB MAR APR MAY AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,07:00:00 PM,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"CCLC-156","The Sunshine House #79","2557 Highway 20","Grayson","GA",30017,"Serena","Dorsey","(770) 822-4477",210,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"CCLC-177","Today's Kids of Grayson","444 Pine Grove Avenue","Grayson","GA",30017,"Eva","Mulkey","(770) 237-8880",204,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:00:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"CCLC-18223","New Odyssey for Children","2013 Millcrest Drive","Hoschton","GA",30548,"Jossette","Pencile","(770) 904-0004",189,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"CCLC-35523","A Mother's Love","1688 Lawrenceville Hwy","Lawrenceville","GA",30044,"Princess","Israel","(678) 395-6867",86,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:00:00 AM,11:00:00 PM,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"CCLC-10890","Almost Home Childcare","1267 Hillandale Road","Lawrenceville","GA",30046,"Katrina","Williams","(770) 682-6500",32,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:00:00 AM,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"CCLC-18143","BellBrook Child Development Center","3155 Sugarloaf Pkwy.","Lawrenceville","GA",30045,"Denise","Bernhardt","(770) 277-5353",202,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:00:00 AM,07:00:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"CCLC-26885","Bethesda Christian Academy","390 Bethesda Church Road","Lawrenceville","GA",30044,"Clarice","Ford-Kulah","(770) 559-1257",116,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"CCLC-1371","Carousel Kids - New Hope","885 New Hope Road","Lawrenceville","GA",30046,"Robin","Geary","(770) 513-2994",135,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:00:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"CCLC-35253","Childcare Network #210","225 Simonton Rd.","Lawrenceville","GA",30046,"Joyce","Ellis","(770) 962-8873",223,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"CCLC-37556","Childcare Network #243","54 Towler Road","Lawrenceville","GA",30046,"Doris","Holden","(770) 513-4359",230,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:00:00 AM,07:00:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"CCLC-1537","Childtime Childcare #1110","20 Patterson Rd","Lawrenceville","GA",30044,"Angela","Molette","(770) 995-7445",140,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"CCLC-1541","Childtime Childcare #1117","1795 Old Norcross Rd.","Lawrenceville","GA",30044,"Oxcelia","Blossomgame","(770) 513-3399",162,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"CCLC-39282","Cinthya's Angels Group Day Care","2627 Old Norcross Road","Lawrenceville","GA",30044,"Cinthya","Martinez","(770) 873-8487",10,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",07:00:00 AM,06:00:00 PM,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"CCLC-38193","D. Scott Hudgens  Jr. Early Education Center","5150 Sugarloaf Parkway","Lawrenceville","GA",30043,"REBECCA","OLSON","(678) 226-6510",379,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",07:00:00 AM,06:15:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"CCLC-274","Discovery Point #4","2555 Cruse Road","Lawrenceville","GA",30044,"Rozina","Lakhani","(678) 376-9760",237,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:00:00 AM,09:00:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"CCLC-21997","Discovery Point #45","1960 Old Peachtree Rd.","Lawrenceville","GA",30043,"Suzan","Swengel","(770) 513-0231",228,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"CCLC-18632","Discovery Point CDC #2","3650 Club Dr.","Lawrenceville","GA",30044,"Gloria","Darko","(770) 279-8400",194,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:00:00 AM,07:00:00 PM,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"CCLC-39351","Early Foundation Academy","467 Bethesda School Road","Lawrenceville","GA",30044,"Nakia","Cerna","(470) 268-4590",12,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"CCLC-35155","Foundations Learning Center","1073 Lawrenceville Hwy","Lawrenceville","GA",30046,"Terri","Franklin","(770) 277-2128",69,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:00:00 AM,07:00:00 PM,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"CCLC-12983","Fountain Park Academy","2209 Old Norcross Rd.","Lawrenceville","GA",30044,"Mildred","Sullivan","(678) 225-4002",236,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"CCLC-38351","Golden Kidz Child Care Center","3004 River Drive","Lawrenceville","GA",30044,"Zemzem","Geresu","(678) 344-5464",178,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR SA",06:00:00 AM,08:00:00 PM,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"CCLC-38313","Herrington Academy","1101 Herrington Road","Lawrenceville","GA",30044,"Herline","Ford","(678) 377-5633",134,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,06:30:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"CCLC-3236","J.M. Tull-Gwinnett Family YMCA Branch Primetime","2985 Sugarloaf Pkwy","Lawrenceville","GA",30045,"Cecelia","Butler","(770) 963-1313",100,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",02:30:00 PM,06:30:00 PM,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"CCLC-24436","Kids Come First Early Learning Center","495 Scenic Highway","Lawrenceville","GA",30046,"Nicole","Lukusa","(678) 226-1809",70,"JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC","MO TU WE TH FR",06:30:00 AM,07:00:00 PM,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
